"Conversion Page","URL","Form","Calendly","Indexed","Action"
"","https://www.vendingpreneurs.com/","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/top-5-questions-vending-entrepreneurship-program","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/top-10-profitable-products-to-stock-in-your-vending-machine","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/vending-machine-locator-high-earning-spots","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/how-much-money-do-vending-machines-make-2026","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/about-us","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/terms","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/case-studies","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/privacy-policy","NA","NA","Yes",""
"Yes","https://www.vendingpreneurs.com/apply-vendingpreneurs","https://vendingpreneurs.typeform.com/to/NsaOR2VZ","NA","Yes","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/start","NA","https://calendly.com/d/cxwj-zxk-2z4/vending-route-advisory-call","No",""
"","https://www.vendingpreneurs.com/news/how-to-choose-the-perfect-location-for-vending-machine","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/vending-business-taxes-us-beginners-guide","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/vending-machine-locator-services-faqs","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/smart-vending-cashless-payments-iot","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/expected-costs-earnings-roi-vending-machines-2025","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/vending-machine-business-passive-income","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/vending-machine-innovation-5","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/best-vending-locations-1-f15cf","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/finance-first-vending-machines-without-loans","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/from-zero-to-first-vending-machine-guide","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/top-5-questions-to-ask-before-joining-a-vending-entrepreneurship-program","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/vending-machine-installation-checklist","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/eco-friendly-zero-waste-vending-machines","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/how-to-build-a-self-managed-route-so-you-can-work-less","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/seasonal-vending-machine-ideas","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/top-8-vendpreneur-mistakes-how-to-fix-them","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/best-vending-locations-1","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/vending-machine-business-legal-tax-licensing-2025","NA","NA","Yes",""
"","https://www.vendingpreneurs.com/news/what-to-check-before-installing-a-vending-machine","NA","NA","Yes",""
"Yes","https://www.vendingpreneurs.com/booking-tiktok","https://vendingpreneurs.typeform.com/to/JPM7QOcG","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/booking-linkedin","https://vendingpreneurs.typeform.com/to/JPM7QOcG","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/booking-meta","https://vendingpreneurs.typeform.com/to/JPM7QOcG","","No","Redirects to 1 of 3 booking pages"
"Yes","https://www.vendingpreneurs.com/booking-ig","https://vendingpreneurs.typeform.com/to/R94ApLQv","https://calendly.com/d/dv5d-5zj-g8b/vendingpreneurs-consultation-session","No","Redirects to Calendly only"
